rank,word,overindex,year,include?
0,u-boat,3.145659469,1910,1
1,teuton,3.07641568,1910,1
2,petrograd,3.030960874,1910,1
4,trench,2.95289033,1910,1
5,huerta,2.922019595,1910,1
6,lansing,2.868351096,1910,1
7,villa,2.822037946,1910,1
8,carranza,2.796980656,1910,1
9,president wilson,2.780239015,1910,1
10,austrian,2.698390917,1910,1
0,president coolidge,2.955121011,1920,1
2,harding,2.836916171,1920,1
3,governor smith,2.801381903,1920,1
4,kellogg,2.551992897,1920,1
5,hylan,2.447179217,1920,1
6,dawes,2.411181463,1920,1
7,mellon,2.078991608,1920,1
9,byrd,2.025558146,1920,1
10,reparation,1.999169114,1920,1
11,transit,1.945240836,1920,1
0,nra,2.907831397,1930,1
1,seabury,2.848726379,1930,1
2,wpa,2.739702304,1930,1
3,landon,2.693147378,1930,1
4,governor lehman,2.564918279,1930,1
5,madrid,2.552481647,1930,1
6,laguardia,2.482298971,1930,1
7,unemployment,2.387868671,1930,1
8,farley,2.380745634,1930,1
9,president hoover,2.317138777,1930,1
0,opa,3.009079219,1940,1
1,cio,2.96808359,1940,1
2,willkie,2.951489186,1940,1
3,red army,2.877898703,1940,1
4,axis,2.816874017,1940,1
5,byrnes,2.658545122,1940,1
6,palestine,2.612821873,1940,1
7,sunk,2.612198267,1940,1
8,mayor o dwyer,2.536579177,1940,1
9,meat,2.514887377,1940,1
0,impellitteri,2.698285831,1950,1
1,korean war,2.689438101,1950,1
2,dulles,2.593391386,1950,1
4,president eisenhower,2.506377797,1950,1
6,formosa,2.445132225,1950,1
8,stevenson,2.359673016,1950,1
9,harriman,2.349801454,1950,1
10,peiping,2.340687192,1950,1
12,suez,2.310289471,1950,1
13,mccarthy,2.102481449,1950,1
0,katanga,2.909734127,1960,1
1,president johnson,2.897434998,1960,1
2,congo,2.879623433,1960,1
3,president kennedy,2.858397708,1960,1
4,rusk,2.857667895,1960,1
8,thant,2.678273359,1960,1
12,vietcong,2.470362561,1960,1
13,dominican,2.461377581,1960,1
14,negro,2.176453877,1960,1
15,lindsay,2.162873336,1960,1
0,president ford,3.604673543,1970,1
1,kissinger,3.497485778,1970,1
2,mcgovern,3.493277971,1970,1
3,watergate,3.474262101,1970,1
4,beame,3.031408696,1970,1
5,sadat,3.02640344,1970,1
7,cambodian,2.837396456,1970,1
11,egypt,2.406125889,1970,1
12,president nixon,2.35943519,1970,1
14,carey,2.319243718,1970,1
3,reagan administration,3.941731628,1980,1
7,haig,3.781562052,1980,1
14,poland,3.38846471,1980,1
16,salvador,3.297704154,1980,1
17,iranian,3.204466962,1980,1
27,koch,2.513987433,1980,1
28,hostage,2.512986476,1980,1
31,recession,2.358887199,1980,1
32,president carter,2.332489773,1980,1
33,saudi,2.11216762,1980,1
5,dole,3.405758277,1990,1
6,whitman,3.284781031,1990,1
7,president clinton,3.13266628,1990,1
14,welfare,2.31098376,1990,1
15,giuliani,2.2813029,1990,1
21,dow,1.933194162,1990,1
25,computer,1.630958697,1990,1
31,microsoft,1.492241838,1990,1
32,hospital,1.491560189,1990,1
37,police,1.466107754,1990,1
9,president bush,1.607093556,2000,1
10,enron,1.584630418,2000,1
11,sept 11,1.576503946,2000,1
14,bloomberg,1.458610043,2000,1
15,iraqi,1.453250398,2000,1
18,terrorist,1.389417968,2000,1
20,euro,1.306023576,2000,1
24,chief executive,1.248056699,2000,1
26,mets,1.219068469,2000,1
30,energy,1.198711316,2000,1
0,president roosevelt,1.8941994,1900,1
1,odell,1.857194634,1900,1
2,jerome,1.833579951,1900,1
3,boer,1.830365693,1900,1
4,platt,1.810756202,1900,1
5,pittsburg,1.709958242,1900,1
6,harriman,1.610404654,1900,1
7,bishop,1.561546312,1900,1
8,vanderbilt,1.527780855,1900,1
9,trolley,1.516083421,1900,1
17,trump,3.893052864,2010,1
19,facebook,3.849713406,2010,1
23,romney,3.757721039,2010,1
29,greece,3.514576549,2010,1
33,president obama,3.444604194,2010,1
34,syria,3.262604904,2010,1
70,amazon,2.688984602,2010,1
82,apple,2.472991302,2010,1
85,google,2.443461755,2010,1
111,crisis,1.961613518,2010,1